City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
241,sittwe,20.15,92.9,29.91,78,0,6.49,MM,1714998057
242,esposende,41.5361,-8.782,18.53,60,2,5.33,PT,1714998057
243,isangel,-19.55,169.2667,22.48,72,36,5.2,VU,1714998057
244,tralee,52.2704,-9.7026,14.14,82,75,2.06,IE,1714998057
245,letlhakeng,-24.0944,25.0298,29.09,11,0,2.92,BW,1714998058
246,ballina,-28.8667,153.5667,17.1,81,87,5.48,AU,1714998058
247,rongelap,11.1635,166.8941,27.36,80,45,7.57,MH,1714998058
248,mankono,8.0586,-6.1897,25.14,82,100,0.36,CI,1714998058
249,port blair,11.6667,92.75,31.02,74,40,2.06,IN,1714998058
250,gering,41.8258,-103.6605,15.07,85,100,2.68,US,1714998058
251,keflavik,64.0049,-22.5624,6.24,75,75,8.75,IS,1714998058
252,tougan,13.0667,-3.0667,38.61,28,100,4.24,BF,1714998058
253,nagqu,31.5,92.0,6.25,32,100,6.91,CN,1714998058
254,peniche,39.3558,-9.3811,20.16,71,32,6.43,PT,1714998058
255,northville,42.4311,-83.4833,11.94,68,100,0.45,US,1714998058
256,lorengau,-2.0226,147.2712,27.35,84,100,2.76,PG,1714998058
257,diu,20.7141,70.9822,33.27,46,2,9.97,IN,1714998058
258,atafu village,-8.5421,-172.5159,29.36,76,98,5.13,TK,1714998058
259,waddan,29.1614,16.139,29.18,17,51,0.86,LY,1714998058
260,nova sintra,14.8667,-24.7167,23.31,79,14,9.43,CV,1714998058
261,lamu,-2.2717,40.902,28.45,76,86,5.75,KE,1714998058
262,caleta de carquin,-11.0925,-77.6267,17.94,93,61,6.1,PE,1714998058
263,tsiombe,-25.3,45.4833,30.72,27,0,2.07,MG,1714998058
264,quvasoy,40.3022,71.9744,25.62,36,39,2.06,UZ,1714998058
265,brookings,44.3114,-96.7984,11.18,85,0,7.2,US,1714998047
266,el bauga,18.262,33.9081,40.46,8,8,5.43,SD,1714998058
267,nema,57.5067,50.5011,2.73,93,100,4.99,RU,1714998058
268,kertih,4.5141,103.4483,29.01,84,12,0.0,MY,1714998058
269,undurkhaan,47.3194,110.6556,16.55,26,65,3.75,MN,1714998059
270,akoupe,6.39,-3.9003,35.49,45,100,2.54,CI,1714998059
271,dana point,33.467,-117.6981,12.05,85,7,2.24,US,1714998028
272,zouerate,22.7187,-12.4521,35.02,8,12,6.6,MR,1714998059
273,ostersund,63.1792,14.6357,7.01,48,100,5.66,SE,1714997913
274,jashpurnagar,22.9,84.15,37.69,12,73,4.19,IN,1714998059
275,lahat,-3.8,103.5333,24.2,97,48,1.07,ID,1714998059
276,tosontsengel,48.7567,98.2839,19.45,18,8,2.87,MN,1714998059
277,vernon,50.2581,-119.2691,11.53,50,100,0.51,CA,1714997863
278,baharly,38.4362,57.4316,33.99,17,37,6.77,TM,1714998059
279,north battleford,52.7834,-108.2847,10.05,66,20,9.26,CA,1714998025
280,champerico,14.3,-91.9167,26.3,80,71,1.84,GT,1714998059
281,san antonio de pale,-1.4014,5.6325,28.26,80,80,7.29,GQ,1714998059
282,konibodom,40.2843,70.4426,29.29,27,12,0.49,TJ,1714998059
283,ndola,-12.9587,28.6366,26.42,56,37,5.81,ZM,1714997771
284,taoudenni,22.6783,-3.9836,38.44,4,2,1.98,ML,1714998059
285,saipan,15.1355,145.701,27.39,78,20,0.0,MP,1714997873
286,port saint john's,-31.6229,29.5448,35.13,17,0,2.39,ZA,1714998059
287,gurupa,-1.405,-51.64,26.77,89,88,2.2,BR,1714998060
288,bainbridge,47.6262,-122.5212,9.59,91,20,5.66,US,1714998060
289,broken hill,-31.95,141.4333,15.18,51,0,6.79,AU,1714998060
290,cadale,2.7603,46.3222,35.23,45,90,5.95,SO,1714998060
291,kalabo,-14.97,22.6814,32.06,24,2,2.12,ZM,1714998060
